compound,target
Polydatin,IL10
Polydatin,NLRP3
Polydatin,GCK
Polydatin,IL1B
Polydatin,NOX4
Polydatin,NFKB1
Polydatin,NPHS1
Polydatin,TAFAZZIN
Polydatin,HIF1A
Polydatin,RUNX2
Polydatin,SIRT6
Polydatin,KEAP1
Polydatin,PPARGC1A
Polydatin,LDLR
Polydatin,GABPA
Polydatin,CDH1
Polydatin,TRPC6
Polydatin,NOS2
Polydatin,SELP
Polydatin,NFE2L2
Polydatin,INS
Polydatin,VEGFA
Polydatin,HMOX1
Polydatin,BGLAP
Polydatin,ICAM1
Polydatin,SNAI2
Polydatin,SOD1
Polydatin,SPP1
Polydatin,SNAI1
Polydatin,ZEB1
Polydatin,CTNNB1
Polydatin,SOD2
Polydatin,GPX4
Polydatin,MYC
Polydatin,GJB1
Polydatin,SIRT1
Polydatin,NPHS2
Polydatin,BAX
Polydatin,PARP1
Polydatin,STAT3
Polydatin,CDH2
Polydatin,AQP5
Polydatin,DLX5
Polydatin,VCAM1
Polydatin,RYR2
Polydatin,NQO1
Polydatin,MUC5AC
Polydatin,GTF2H1
Polydatin,MIR200A
Polydatin,FN1
Polydatin,TNF
Polydatin,BIRC5
Polydatin,SELE
Polydatin,PCSK9
Emodin,METTL3
Emodin,IL1A
Emodin,TCF4
Emodin,PRKG1
Emodin,NLRP3
Emodin,MSRA
Emodin,STS
Emodin,ADAMTS4
Emodin,SIRT3
Emodin,CALCA
Emodin,TLR3
Emodin,MAPK14
Emodin,CTNNB1
Emodin,MAPT
Emodin,CXCL1
Emodin,GPM6A
Emodin,VEGFA
Emodin,CD36
Emodin,CIRBP
Emodin,FLT1
Emodin,APCS
Emodin,TMEM26
Emodin,HDAC9
Emodin,MMP3
Emodin,RAD51
Emodin,LDHA
Emodin,MYD88
Emodin,NFKB1
Emodin,ACSL4
Emodin,MIR139
Emodin,SARS2
Emodin,GUK1
Emodin,COL2A1
Emodin,SLC1A2
Emodin,HMOX1
Emodin,XRCC1
Emodin,SGTB
Emodin,AKT1
Emodin,MIR182
Emodin,MMP13
Emodin,SLC27A4
Emodin,CXCL5
Emodin,MUC2
Emodin,MAPK8
Emodin,MARVELD1
Emodin,TGFB1
Emodin,TFF2
Emodin,VDR
Emodin,IL1B
Emodin,GSDMD
Emodin,CASP1
Emodin,BCL2
Emodin,CYP1A1
Emodin,TBX1
Emodin,IFNG
Emodin,TP53
Emodin,DNM1L
Emodin,TJP1
Emodin,PKM
Emodin,SOD1
Emodin,NCOR2
Emodin,TNFRSF9
Emodin,MAPK1
Emodin,GSK3B
Emodin,SMAD3
Emodin,MTOR
Emodin,PPARG
Emodin,TNF
Emodin,SLC2A1
Emodin,IL22
Emodin,IFNB1
Emodin,TWIST1
Emodin,PTHLH
Emodin,TUG1
Emodin,TLR4
Emodin,MAPK3
Emodin,GABPA
Emodin,APP
Emodin,PTGS2
Emodin,HMMR
Emodin,ALOX5
Emodin,MYC
Emodin,CCL2
Emodin,DLG4
Emodin,NOS2
Emodin,CRMP1
Emodin,PPARA
Emodin,UCP1
Emodin,SDC1
Emodin,KDR
Emodin,ITGAM
Emodin,HP
Emodin,SMAD2
Emodin,IL6
Emodin,SYP
Emodin,PARP1
Resveratrol,ATM
Resveratrol,METTL3
Resveratrol,IL10
Resveratrol,NLRP3
Resveratrol,STAT3
Resveratrol,EPHB2
Resveratrol,MIF
Resveratrol,PPARD
Resveratrol,UBE3A
Resveratrol,SOCS3
Resveratrol,STAT1
Resveratrol,GAD1
Resveratrol,MIR129-1
Resveratrol,LRP6
Resveratrol,NOS1
Resveratrol,TAS2R14
Resveratrol,MRC1
Resveratrol,SREBF1
Resveratrol,CERS1
Resveratrol,IL5
Resveratrol,COX6A1
Resveratrol,SIRT3
Resveratrol,CNR1
Resveratrol,MAPK14
Resveratrol,RB1
Resveratrol,TRAF6
Resveratrol,WNT7A
Resveratrol,CTNNB1
Resveratrol,GPX4
Resveratrol,MAPT
Resveratrol,LDHB
Resveratrol,MYH6
Resveratrol,CCL3
Resveratrol,ZEB2
Resveratrol,GRIN2B
Resveratrol,GPM6A
Resveratrol,VEGFA
Resveratrol,CYP3A4
Resveratrol,DEFA3
Resveratrol,IL13
Resveratrol,HIF3A
Resveratrol,NRF1
Resveratrol,SLCO6A1
Resveratrol,ATF4
Resveratrol,BECN1
Resveratrol,SPDEF
Resveratrol,APCS
Resveratrol,KAT5
Resveratrol,SLC2A3
Resveratrol,GTF2H1
Resveratrol,HDAC9
Resveratrol,MMP3
Resveratrol,GRIN2A
Resveratrol,AGER
Resveratrol,IL12B
Resveratrol,ARG1
Resveratrol,GRIN2D
Resveratrol,PCNA
Resveratrol,NFKB1
Resveratrol,CCL5
Resveratrol,CASP3
Resveratrol,MIR139
Resveratrol,COX8A
Resveratrol,NPPA
Resveratrol,MECP2
Resveratrol,TNFRSF1B
Resveratrol,FTO
Resveratrol,NOS2
Resveratrol,FABP4
Resveratrol,MAP2K2
Resveratrol,HMOX1
Resveratrol,CDH1
Resveratrol,HMGB1
Resveratrol,SLC16A3
Resveratrol,BDNF
Resveratrol,TPT1
Resveratrol,MIR1305
Resveratrol,UGT1A1
Resveratrol,AKT1
Resveratrol,MCTS1
Resveratrol,MIR22
Resveratrol,DDIT3
Resveratrol,SIRT1
Resveratrol,MIR149
Resveratrol,FAS
Resveratrol,MAP2K1
Resveratrol,BMI1
Resveratrol,MGR1
Resveratrol,CAT
Resveratrol,CD86
Resveratrol,CCND1
Resveratrol,PINK1
Resveratrol,KDR
Resveratrol,CCL4
Resveratrol,MAPK8
Resveratrol,MARVELD1
Resveratrol,MPO
Resveratrol,BACE1
Resveratrol,TGFB1
Resveratrol,GRIN2C
Resveratrol,CREB1
Resveratrol,JUN
Resveratrol,PPARGC1A
Resveratrol,NR3C1
Resveratrol,IL1B
Resveratrol,COX5A
Resveratrol,ACHE
Resveratrol,CNR2
Resveratrol,IL1RN
Resveratrol,IL2
Resveratrol,PCYT2
Resveratrol,BCL2
Resveratrol,IL4
Resveratrol,SLC7A11
Resveratrol,IFNG
Resveratrol,XIAP
Resveratrol,TP53
Resveratrol,WNT3A
Resveratrol,CASP9
Resveratrol,PRKAA1
Resveratrol,HGF
Resveratrol,POLD1
Resveratrol,TJP1
Resveratrol,VCAM1
Resveratrol,ENG
Resveratrol,NOX4
Resveratrol,ICAM1
Resveratrol,ABCG2
Resveratrol,PTK2
Resveratrol,SOD1
Resveratrol,SERPINF1
Resveratrol,PRKDC
Resveratrol,MIR136
Resveratrol,CYCS
Resveratrol,MAP1LC3B
Resveratrol,GCLC
Resveratrol,ATG5
Resveratrol,NR1H3
Resveratrol,DLC1
Resveratrol,PECAM1
Resveratrol,BAX
Resveratrol,MAPK1
Resveratrol,YTHDF3
Resveratrol,PCK2
Resveratrol,ALKBH5
Resveratrol,SMAD3
Resveratrol,MTOR
Resveratrol,CDK9
Resveratrol,MUC2
Resveratrol,MIR146A
Resveratrol,TREM2
Resveratrol,TFAM
Resveratrol,MYB
Resveratrol,TNF
Resveratrol,FGF1
Resveratrol,SLC2A1
Resveratrol,MMP1
Resveratrol,RUNX2
Resveratrol,CXCL8
Resveratrol,IFNB1
Resveratrol,AHR
Resveratrol,EIF4EBP1
Resveratrol,CDKN2A
Resveratrol,MTA1
Resveratrol,ACOX1
Resveratrol,CASP1
Resveratrol,CDX2
Resveratrol,FOXO1
Resveratrol,VEGFB
Resveratrol,TLR4
Resveratrol,NGFR
Resveratrol,MAPK3
Resveratrol,GABPA
Resveratrol,MDM2
Resveratrol,APP
Resveratrol,PTGS2
Resveratrol,INS
Resveratrol,AMY1A
Resveratrol,SIGIRR
Resveratrol,CYP21A2
Resveratrol,RPS6KB1
Resveratrol,CASP8
Resveratrol,LYZ
Resveratrol,MMP9
Resveratrol,ARC
Resveratrol,CCL2
Resveratrol,RICTOR
Resveratrol,TH
Resveratrol,TFEB
Resveratrol,PPARA
Resveratrol,IL18
Resveratrol,SYK
Resveratrol,SLC2A6
Resveratrol,GPX1
Resveratrol,CD163
Resveratrol,GSS
Resveratrol,MBTPS1
Resveratrol,ALB
Resveratrol,YTHDF2
Resveratrol,FPR1
Resveratrol,LEF1
Resveratrol,RPTOR
Resveratrol,MUC5AC
Resveratrol,IL6
Resveratrol,TNNT1
Resveratrol,DEFA5
Resveratrol,KCNN1
Resveratrol,G6PC3
Resveratrol,FOXO4
Resveratrol,NR1I2
Resveratrol,MIR34A
Resveratrol,MKI67
Resveratrol,CISD2
Resveratrol,PARP1
Physcion,ACHE
Physcion,ALDH1A1
Physcion,ALOX15
Physcion,AR
Physcion,BAX
Physcion,CA2
Physcion,CCNA2
Physcion,CDK2
Physcion,CHEK1
Physcion,MAPK14
Physcion,CTSG
Physcion,DPEP1
Physcion,DPP4
Physcion,ELANE
Physcion,EPHX2
Physcion,ESR1
Physcion,ESR2
Physcion,F7
Physcion,GLA
Physcion,GSK3B
Physcion,HPGD
Physcion,LCK
Physcion,MAPT
Physcion,NOS2
Physcion,PGD
Physcion,PIM1
Physcion,PPARG
Physcion,PKIA
Physcion,PRSS1
Physcion,PTGS1
Physcion,PTGS2
Physcion,RXRA
Physcion,SCN5A
Physcion,THRB
Physcion,USP1
Physcion,VDR
Physcion,NCOA1
Physcion,NCOA2
Physcion,SLCO1B1
Physcion,SLCO1B3
Physcion,POLK
Physcion,P2RY12
Physcion,KDM4E
